Time,Manual_Count,NETCOMM LIMITED,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",UNKNOWN,ASUSTek COMPUTER INC.,Hewlett Packard,Apple,Intel Corporate,Billion Electric Co. Ltd.,"NETGEAR INC.,","CISCO SYSTEMS, INC.","TP-LINK TECHNOLOGIES CO.,LTD.","Apple, Inc",Routerboard.com,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Netgear Inc,Netgear Inc.,"NEC Platforms, Ltd","Cisco-Linksys, LLC",NETGEAR,D-Link International,DrayTek Corp.,Ubiquiti Networks,Sony Mobile Communications AB,IBM Corp,ASRock Incorporation,Microsoft Corporation,Liteon Technology Corporation,"Apple, Inc.",Liteon Tech Corp.,"Ubiquiti Networks, Inc.",Hewlett-Packard Company,Dell Inc,"Samsung Electro Mechanics co., LTD.","Hon Hai Precision Ind. Co.,Ltd.",SEIKO EPSON CORPORATION,Belkin International Inc.,ICP Electronics Inc.,"Samsung Electro Mechanics co.,LTD.",HTC Corporation,Apple Inc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,22,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,22,1,1,2,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,22,1,1,2,1,1,4,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,22,1,1,2,1,1,4,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,22,1,1,2,1,1,4,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,22,1,1,2,2,1,5,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,22,1,1,2,2,1,5,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,22,1,1,2,2,1,5,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,22,1,1,2,2,1,6,3,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,22,1,1,2,2,1,6,3,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,22,1,1,2,3,0,7,3,1,1,2,1,0,1,2,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
52,22,1,1,1,3,0,8,3,1,1,2,1,0,1,2,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
56,22,1,1,1,3,0,8,3,1,1,2,1,0,1,2,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
61,22,1,1,1,3,0,8,3,1,1,2,1,0,1,2,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
65,22,1,1,1,3,1,9,3,1,1,2,1,0,1,2,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
69,22,1,1,1,3,1,9,3,1,1,2,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
73,22,1,1,3,2,1,9,2,1,1,2,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,
77,22,1,0,4,2,1,9,2,1,1,2,1,0,1,2,1,1,0,0,2,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,
82,22,1,0,4,2,1,9,2,1,1,2,1,0,1,3,1,1,0,0,2,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,
86,22,1,0,4,2,1,9,2,1,1,2,1,0,1,3,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,
90,22,1,0,4,2,1,9,2,1,1,2,1,0,1,3,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,
94,22,1,0,4,2,1,9,2,1,1,2,1,2,1,3,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,,
99,25,1,0,4,2,1,9,2,1,1,2,1,2,1,3,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,,
103,25,1,0,4,2,1,9,2,1,1,2,1,2,1,3,1,1,0,0,2,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,,
107,25,1,0,5,2,1,10,3,1,0,1,1,2,1,3,2,1,0,0,2,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,,
111,25,1,0,5,2,0,12,3,1,0,2,1,2,1,3,2,1,0,0,2,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,,
116,25,1,0,5,2,0,12,3,1,0,2,1,2,1,3,2,1,0,0,2,1,1,2,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,,,
119,25,1,0,4,2,0,11,3,1,0,2,1,3,1,3,2,1,0,0,2,1,1,2,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,,,
124,25,1,0,3,1,0,10,3,1,0,2,1,3,1,3,2,1,0,0,1,1,1,2,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,,,
128,25,1,0,2,1,0,10,3,1,0,2,1,3,1,3,2,1,0,0,1,1,1,2,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,,,
133,25,1,0,3,1,0,10,3,1,0,2,1,3,1,3,2,1,0,0,1,1,1,2,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,,,
137,25,1,0,3,1,0,10,3,1,0,2,1,3,1,3,2,1,0,0,1,1,1,2,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,,,
141,25,1,0,3,0,0,10,3,1,0,2,1,2,1,3,2,1,0,0,1,1,0,2,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,,,
145,25,1,0,3,0,0,10,4,1,0,2,1,2,1,3,2,1,0,0,1,1,0,2,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,,,
149,25,1,1,3,0,0,10,4,1,1,2,1,2,1,3,2,1,0,0,1,1,0,2,0,1,1,1,0,0,1,0,2,1,1,0,0,0,0,,,
154,25,1,1,2,1,0,10,3,1,1,2,1,2,1,3,2,1,0,0,2,1,0,2,0,1,1,1,0,0,1,0,2,1,1,0,0,0,0,,,
158,25,1,1,2,1,0,8,3,1,1,2,1,2,1,3,2,1,0,0,2,1,0,2,0,1,1,1,0,0,1,0,2,1,1,0,0,0,0,,,
162,25,1,1,2,1,0,8,3,1,1,2,1,1,1,2,2,1,0,0,2,1,0,2,0,1,1,1,0,0,1,0,3,1,1,0,0,0,0,,,
167,23,1,1,2,1,0,8,4,1,1,2,1,0,1,2,2,1,0,0,2,1,0,2,0,1,1,1,0,0,0,0,3,1,1,0,0,0,0,,,
170,24,1,1,3,1,0,8,4,1,1,2,1,0,1,2,2,1,0,0,2,1,0,1,0,1,1,1,0,0,0,0,3,1,1,0,0,0,0,,,
175,24,1,1,3,1,0,9,4,1,1,2,1,0,1,2,2,1,0,0,2,1,0,1,0,1,1,0,0,0,0,0,3,1,1,0,0,0,0,,,
179,24,1,1,2,1,0,8,3,1,1,2,1,0,1,1,2,1,0,0,2,1,0,1,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,,,
183,24,1,1,2,1,0,7,3,1,1,2,1,1,1,1,2,1,0,0,2,1,0,1,0,1,1,0,1,0,0,0,3,1,0,0,0,0,0,,,
187,24,1,2,2,1,0,6,3,1,1,1,1,1,0,2,1,1,0,0,2,1,0,1,0,1,1,0,1,0,0,0,2,1,0,0,0,0,0,,,
192,24,1,2,2,1,0,6,2,1,1,1,1,1,0,2,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,2,1,0,0,0,0,0,,,
196,24,1,2,4,2,0,7,2,1,1,1,1,1,0,2,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,2,1,0,0,0,1,0,,,
200,24,1,2,4,2,0,8,2,1,1,1,1,1,0,2,2,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,1,0,0,0,1,,,,
205,24,1,2,4,2,0,9,3,1,1,1,1,1,0,3,2,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,1,0,0,0,1,,,,
209,24,1,2,4,2,0,9,3,1,1,1,1,2,0,3,2,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,1,0,0,0,1,,,,
213,24,1,2,5,2,0,10,2,1,1,1,1,2,0,3,2,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,1,0,0,0,1,,,,
217,24,1,2,4,2,0,9,2,1,1,1,1,2,0,3,2,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,2,1,0,0,0,1,,,,
221,24,1,2,4,2,0,9,2,1,0,1,1,2,0,4,2,1,0,0,1,1,1,2,0,1,1,1,1,0,0,0,3,1,0,0,0,1,,,,
226,24,1,2,4,2,0,8,2,1,0,1,1,2,0,5,2,1,0,0,1,1,1,2,0,1,1,1,1,0,0,0,3,1,0,0,0,1,,,,
230,24,1,2,4,2,0,9,2,1,0,1,1,1,0,5,2,1,0,0,1,1,1,2,0,1,1,1,0,0,0,0,3,1,0,0,0,1,,,,
234,24,1,2,4,2,0,10,2,1,1,1,1,1,0,4,2,1,0,0,1,1,1,2,0,0,1,1,0,0,0,0,2,1,0,0,0,1,,,,
238,24,1,1,4,2,2,10,2,1,1,1,1,1,0,6,2,1,0,0,1,1,1,2,0,0,1,1,0,0,0,0,2,1,0,0,0,1,,,,
242,24,1,1,3,2,2,9,2,1,1,1,1,1,0,6,2,1,0,0,1,1,1,2,0,0,1,1,0,0,0,0,2,1,0,0,0,1,,,,
247,24,1,1,3,2,2,8,2,1,1,1,1,1,0,6,1,1,0,0,1,1,1,2,0,1,1,1,0,0,0,0,2,1,0,0,1,1,,,,
251,24,1,1,3,1,2,7,2,1,1,1,1,1,0,6,1,1,0,0,1,1,1,2,0,1,1,1,0,0,0,0,2,1,0,0,1,1,,,,
255,24,1,1,3,1,2,7,2,1,1,1,1,1,0,6,1,1,0,0,1,1,1,2,0,1,1,1,0,0,0,0,2,1,0,0,,,,,,
259,24,1,1,3,2,3,7,3,1,1,1,1,0,0,6,1,1,0,0,1,1,1,2,0,1,1,1,0,1,0,0,2,1,0,0,,,,,,
263,24,1,1,3,2,4,7,3,1,1,1,1,0,0,6,1,1,0,0,0,1,1,2,0,1,1,1,0,1,0,0,2,1,0,,,,,,,
268,24,1,1,3,2,4,7,3,1,1,1,1,0,0,5,1,1,0,0,1,1,1,2,0,1,1,0,0,1,0,0,2,1,,,,,,,,
273,24,1,1,3,2,4,7,3,1,1,1,1,0,0,5,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,,,,,,,,
276,21,1,2,3,3,4,5,3,1,1,1,1,1,2,5,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,,,,,,,,
281,21,1,2,3,3,4,7,3,1,1,1,1,1,2,7,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,2,1,,,,,,,,
285,21,1,1,3,3,4,7,3,1,1,1,1,1,2,6,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,2,1,,,,,,,,
289,21,1,1,3,3,5,6,3,1,1,2,1,1,2,6,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,2,1,,,,,,,,
293,21,1,1,3,4,4,8,3,1,1,2,1,1,2,4,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,2,1,,,,,,,,
298,21,1,1,3,4,4,7,2,1,1,2,1,1,2,4,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,2,1,,,,,,,,
302,21,1,1,3,4,4,8,2,1,1,2,1,1,2,6,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,2,,,,,,,,,
306,21,1,1,3,3,4,8,2,1,1,2,1,1,2,6,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,2,,,,,,,,,
310,21,1,1,4,3,3,10,2,1,1,2,1,1,2,6,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,2,,,,,,,,,
315,21,1,1,4,3,2,10,2,1,1,2,1,1,2,5,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,,,,,,,,,,
319,21,1,1,4,3,2,10,2,1,0,2,1,1,2,4,2,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,,,,,,,,,,
323,21,1,0,4,2,3,10,3,1,0,2,1,0,1,4,2,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,,,,,,,,,,
328,21,1,0,4,2,3,8,3,1,0,2,1,0,2,3,2,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,,,,,,,,,,
332,21,1,0,4,2,3,9,3,1,0,2,1,0,2,3,2,1,1,0,1,1,1,1,1,1,0,1,1,0,0,,,,,,,,,,,
336,21,1,0,4,2,3,10,3,2,0,2,1,0,2,3,2,1,1,0,1,1,1,1,1,1,0,1,1,0,0,,,,,,,,,,,
340,21,1,1,3,1,3,10,3,2,1,2,1,0,2,3,2,1,1,0,1,1,0,1,1,0,0,1,1,0,,,,,,,,,,,,
344,21,1,1,3,1,3,10,3,2,1,2,1,0,2,3,2,1,1,0,1,1,0,1,1,0,0,1,1,0,,,,,,,,,,,,
348,21,1,1,3,1,3,10,3,2,1,2,1,0,2,5,2,1,0,0,1,1,0,1,0,0,0,1,0,,,,,,,,,,,,,
352,21,1,1,3,1,2,10,3,2,1,2,1,0,2,5,2,1,0,0,1,1,0,1,0,1,0,1,0,,,,,,,,,,,,,
357,21,1,1,3,0,2,8,2,2,1,2,1,0,2,5,2,1,0,0,1,1,0,1,0,1,0,1,,,,,,,,,,,,,,
361,21,1,2,3,0,2,8,2,2,1,2,1,0,2,5,2,1,0,0,1,1,0,1,0,1,0,1,,,,,,,,,,,,,,
365,21,1,2,3,0,2,8,2,2,1,2,1,0,2,5,2,1,0,0,1,1,0,1,0,1,0,1,,,,,,,,,,,,,,
369,21,1,2,2,0,1,7,2,2,1,1,1,0,2,5,2,1,0,0,1,1,0,1,0,1,0,1,,,,,,,,,,,,,,
373,21,1,2,2,0,1,5,2,2,1,2,1,0,1,6,2,1,0,0,1,1,0,1,0,1,,,,,,,,,,,,,,,,
378,21,1,2,2,0,2,4,2,2,1,2,1,0,1,6,2,1,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,
383,21,1,2,3,1,1,4,3,1,1,2,1,0,1,6,2,1,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,
387,21,1,1,3,2,1,4,3,1,1,2,1,0,0,5,2,1,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,
391,21,1,1,3,2,2,7,3,1,1,2,1,0,0,5,2,1,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,
395,21,1,1,3,2,2,7,3,1,1,2,1,0,0,3,2,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,
399,19,1,1,3,2,2,9,4,1,1,2,1,0,0,4,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,
403,19,1,1,2,2,2,9,4,1,1,2,1,0,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
407,19,1,0,2,2,3,9,4,1,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
