Time,Manual_Count,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,ASUSTek COMPUTER INC.,Time,Apple,Time,Belkin International Inc.,Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,DrayTek Corp.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"Apple, Inc",Time,Intel Corporate,Time,Liteon Tech Corp.,Time,Wistron Corporation,Time,SEIKO EPSON CORPORATION,Time,Netgear Inc.,Time,"Murata Manufactuaring Co.,Ltd.",Time,"Samsung Electronics Co., LTD",Time,WISOL,Time,"Apple, Inc.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,"Ubiquiti Networks, INC",Time,Hewlett-Packard Company,Time,Liteon Technology Corporation,Time,HTC Corporation,Time,"Samsung Electro Mechanics co.,LTD.",Time,"Micro-Star Int'l Co, Ltd",Time,Lexmark International Inc.,Time,Routerboard.com,Time,Ubiquiti Networks,Time,IBM Corp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,21,2,0,2,0,2,0,2,1,2,1,2,0,12,0,12,0,12,0,30,0,39,0,39,0,39,0,68,1,68,0,123,0,123,0,143,0,180,0,392,0,420,0,452,0,462,0,471,0,499,0,555,0,574,0,583,0,639,0,649,0,863,0,919,0,919,0
15,21,12,1,12,1,12,1,12,2,12,2,12,1,21,1,21,1,21,1,39,1,49,1,49,1,49,1,77,2,77,1,132,1,132,1,152,1,189,1,401,1,452,0,462,1,471,1,480,1,509,1,564,1,583,1,592,1,649,1,658,1,872,1,928,1,928,1
25,23,21,1,21,1,21,1,21,1,21,2,21,1,30,1,30,2,30,1,49,1,58,1,58,0,58,0,86,1,86,0,143,0,143,0,161,0,199,0,411,0,462,0,471,1,480,0,489,0,518,1,574,0,592,0,601,0,658,0,668,0,882,0,938,0,938,0
50,23,30,1,30,1,30,1,30,2,30,2,30,1,39,1,39,2,39,1,58,1,68,1,68,0,68,0,96,0,96,0,152,0,152,0,171,0,209,0,420,0,471,0,480,1,489,0,499,0,527,1,583,0,601,0,611,0,668,0,677,0,891,0,947,0,947,0
52,23,39,1,39,1,39,1,39,2,39,2,39,1,49,1,49,2,49,1,68,1,77,0,77,0,77,0,105,0,105,0,161,0,161,0,180,1,218,0,452,0,480,0,489,0,499,0,509,0,536,0,592,0,611,0,620,0,677,0,686,0,900,0,,,,
95,23,49,1,49,1,49,1,49,2,49,2,49,2,58,1,58,3,58,0,77,0,86,0,86,0,86,0,114,1,114,0,171,0,171,0,189,1,227,0,462,0,489,0,499,0,509,0,518,0,546,0,601,0,620,1,629,0,686,0,696,0,910,0,,,,
136,23,58,1,58,1,58,1,58,1,58,1,58,2,68,1,68,1,68,0,86,0,96,0,96,0,96,0,123,1,123,0,180,0,180,0,199,0,237,0,471,0,499,0,509,0,518,0,527,0,555,0,611,0,629,1,639,0,696,0,704,0,919,0,,,,
186,23,68,1,68,2,68,1,68,1,68,2,68,1,77,1,77,0,77,1,96,0,105,1,105,0,105,0,132,1,132,0,189,0,189,0,209,0,246,0,480,0,509,0,518,0,527,0,536,0,564,0,620,0,639,0,649,0,704,0,714,0,928,0,,,,
238,23,77,1,77,2,77,1,77,1,77,2,77,1,86,1,86,1,86,1,105,0,114,1,114,0,114,0,143,0,143,0,199,0,199,0,218,0,255,0,489,0,518,0,527,0,536,0,546,0,574,0,629,0,649,0,658,0,714,0,724,0,938,0,,,,
266,23,86,1,86,2,86,1,86,1,86,2,86,1,96,1,96,1,96,1,114,1,123,0,123,0,123,0,152,0,152,0,209,0,209,0,227,0,265,0,499,0,527,0,536,1,546,0,555,0,583,0,639,0,658,0,668,0,724,0,732,0,947,0,,,,
302,23,96,1,96,2,96,1,96,1,96,2,96,1,105,1,105,2,105,1,123,1,132,0,132,0,132,0,161,0,161,0,218,0,218,0,237,0,383,0,509,0,536,0,546,1,555,0,564,0,592,0,649,0,668,0,677,0,732,0,742,0,,,,,,
315,23,105,1,105,1,105,1,105,1,105,2,105,1,114,1,114,2,114,0,132,1,143,0,143,0,143,1,171,1,171,0,227,0,227,0,246,0,392,0,518,0,546,0,555,0,564,0,574,0,601,0,658,0,677,0,686,0,742,0,751,0,,,,,,
354,23,114,1,114,1,114,1,114,1,114,2,114,1,123,1,123,4,123,1,143,1,152,0,152,0,152,1,180,1,180,0,237,0,237,0,255,0,401,0,527,0,555,0,564,0,574,0,583,0,611,0,668,0,686,0,696,0,751,0,761,0,,,,,,
385,23,123,1,123,2,123,1,123,1,123,2,123,1,132,1,132,4,132,1,152,1,161,0,161,0,161,0,189,1,189,1,246,0,246,0,265,0,411,0,536,0,564,0,574,0,583,0,592,0,620,0,677,0,696,0,704,0,761,0,770,0,,,,,,
395,23,132,1,132,2,132,1,132,1,132,2,132,1,143,1,143,3,143,0,161,1,171,0,171,0,171,0,199,0,199,1,255,0,255,0,383,0,420,0,546,0,574,0,583,0,592,0,601,0,629,0,686,0,704,0,714,0,770,0,780,0,,,,,,
438,23,143,1,143,1,143,1,143,1,143,1,143,1,152,1,152,3,152,0,171,1,180,0,180,0,180,0,209,0,209,0,265,0,265,0,392,1,452,0,555,0,583,0,592,0,601,0,611,0,639,0,696,0,714,0,724,0,780,0,789,0,,,,,,
479,23,152,1,152,1,152,1,152,1,152,1,152,1,161,1,161,2,161,0,180,1,189,0,189,0,189,0,218,0,218,0,383,0,383,0,401,1,462,0,564,0,592,0,601,1,611,0,620,0,649,0,704,0,724,0,732,0,789,0,798,0,,,,,,
518,23,161,1,161,1,161,1,161,2,161,1,161,1,171,1,171,3,171,0,189,1,199,0,199,0,199,0,227,0,227,0,392,0,392,0,411,0,471,0,574,0,601,0,611,1,620,0,629,0,658,0,714,0,732,0,742,0,798,0,808,0,,,,,,
543,23,171,1,171,1,171,1,171,2,171,1,171,1,180,1,180,4,180,0,199,1,209,0,209,0,209,0,237,0,237,0,401,1,401,0,420,0,480,0,583,0,611,0,620,0,629,0,639,0,668,0,724,0,742,0,751,0,808,0,817,0,,,,,,
581,23,180,1,180,3,180,2,180,2,180,2,180,1,189,1,189,2,189,0,209,1,218,0,218,0,218,0,246,0,246,0,411,1,411,0,452,0,489,0,592,0,620,0,629,0,639,0,649,0,677,0,732,0,751,0,761,0,817,0,826,0,,,,,,
634,23,189,1,189,3,189,2,189,2,189,2,189,1,199,1,199,1,199,1,218,1,227,1,227,0,227,0,255,0,255,0,420,0,420,0,462,0,499,0,601,0,629,0,639,0,649,0,658,0,686,0,742,0,761,0,770,0,826,0,836,0,,,,,,
683,23,199,1,199,3,199,2,199,2,199,2,199,1,209,1,209,2,209,1,227,0,237,1,237,0,237,0,265,0,265,0,452,0,452,0,471,0,509,0,611,0,639,0,649,0,658,0,668,0,696,0,751,0,770,0,780,0,836,0,845,0,,,,,,
710,23,209,1,209,2,209,2,209,2,209,0,209,2,218,1,218,3,218,0,237,1,246,0,246,0,246,0,383,0,383,0,462,0,462,0,480,1,518,0,620,0,649,0,658,0,668,0,677,0,704,0,761,0,780,0,789,0,845,0,854,0,,,,,,
758,23,218,1,218,3,218,1,218,2,218,1,218,2,227,1,227,2,227,0,246,1,255,0,255,0,255,0,392,0,392,0,471,1,471,0,489,1,527,0,629,0,658,0,668,0,677,0,686,0,714,0,770,0,789,0,798,0,854,0,863,0,,,,,,
798,23,227,1,227,3,227,1,227,2,227,2,227,1,237,1,237,0,237,0,255,1,265,0,265,0,265,0,401,0,401,0,480,1,480,0,499,0,536,0,639,0,668,0,677,0,686,0,696,0,724,0,780,0,798,0,808,0,863,0,872,0,,,,,,
820,23,237,1,237,3,237,1,237,2,237,2,237,1,246,1,246,0,246,0,265,1,383,0,383,0,383,0,411,0,411,0,489,0,489,0,509,0,546,0,649,0,677,0,686,0,696,0,704,0,732,0,789,0,808,0,817,0,872,0,882,0,,,,,,
844,23,246,1,246,3,246,1,246,2,246,2,246,1,255,1,255,0,255,0,383,1,392,0,392,0,392,0,420,0,420,0,499,0,499,0,518,0,555,1,658,0,686,0,696,0,704,0,714,0,742,0,798,0,817,0,826,0,882,0,891,0,,,,,,
893,20,255,1,255,2,255,1,255,2,255,2,255,1,265,1,265,0,265,0,392,1,401,0,401,0,401,0,452,0,452,0,509,1,509,0,527,0,564,1,668,0,696,0,704,0,714,0,724,0,751,0,808,0,826,0,836,0,891,0,900,0,,,,,,
933,20,265,1,265,2,265,1,265,2,265,2,265,1,383,1,383,1,383,1,401,1,411,0,411,0,411,0,462,0,462,0,518,1,518,0,536,0,574,0,677,0,704,0,714,0,724,0,732,0,761,0,817,0,836,0,845,0,900,0,910,0,,,,,,
947,20,383,1,383,2,383,1,383,2,383,2,383,1,392,1,392,2,392,1,411,1,420,0,420,0,420,0,471,0,471,0,527,1,527,0,546,0,583,0,686,0,714,0,724,0,732,0,742,0,770,0,826,0,845,0,854,1,910,0,919,0,,,,,,
,,392,1,392,2,392,1,392,2,392,2,392,1,401,1,401,2,401,1,420,1,452,0,452,1,452,0,480,0,480,0,536,0,536,0,555,0,592,0,696,0,724,0,732,0,742,0,751,0,780,0,836,0,854,0,863,1,919,0,928,0,,,,,,
,,401,1,401,3,401,1,401,2,401,1,401,1,411,1,411,1,411,1,452,1,462,0,462,1,462,1,489,0,489,0,546,0,546,0,564,0,601,0,704,0,732,0,742,0,751,0,761,0,789,0,845,0,863,0,872,1,928,0,938,0,,,,,,
,,411,1,411,3,411,1,411,2,411,2,411,1,420,1,420,0,420,0,462,2,471,0,471,0,471,1,499,0,499,0,555,0,555,0,574,0,611,0,714,0,742,0,751,0,761,0,770,0,798,0,854,0,872,0,882,1,938,0,947,0,,,,,,
,,420,1,420,3,420,1,420,2,420,2,420,1,452,0,452,1,452,1,471,1,480,0,480,0,480,0,509,0,509,0,564,0,564,0,583,0,620,0,724,0,751,0,761,0,770,0,780,0,808,0,863,0,882,0,891,0,947,0,,,,,,,,
,,452,1,452,3,452,1,452,1,452,2,452,1,462,0,462,2,462,1,480,1,489,0,489,0,489,0,518,0,518,0,574,0,574,0,592,0,629,0,732,0,761,0,770,0,780,0,789,0,817,0,872,0,891,0,900,0,,,,,,,,,,
,,462,1,462,3,462,1,462,1,462,2,462,1,471,0,471,1,471,1,489,1,499,0,499,0,499,0,527,0,527,0,583,0,583,0,601,0,639,0,742,0,770,0,780,0,789,0,798,0,826,0,882,0,900,0,910,0,,,,,,,,,,
,,471,2,471,2,471,1,471,1,471,2,471,1,480,0,480,1,480,1,499,1,509,0,509,0,509,0,536,0,536,0,592,0,592,0,611,1,649,0,751,0,780,0,789,0,798,0,808,0,836,0,891,0,910,0,919,0,,,,,,,,,,
,,480,1,480,3,480,1,480,1,480,2,480,1,489,0,489,2,489,1,509,1,518,0,518,0,518,0,546,0,546,0,601,0,601,0,620,1,658,0,761,0,789,0,798,0,808,0,817,0,845,0,900,0,919,0,928,0,,,,,,,,,,
,,489,1,489,3,489,1,489,1,489,2,489,1,499,1,499,3,499,1,518,1,527,0,527,0,527,0,555,0,555,0,611,0,611,1,629,1,668,0,770,0,798,0,808,0,817,0,826,0,854,0,910,0,928,0,938,0,,,,,,,,,,
,,499,1,499,3,499,1,499,1,499,2,499,1,509,1,509,4,509,1,527,1,536,0,536,0,536,0,564,0,564,0,620,0,620,1,639,0,677,0,780,0,808,0,817,0,826,0,836,0,863,0,919,0,938,0,947,0,,,,,,,,,,
,,509,1,509,3,509,1,509,1,509,2,509,2,518,1,518,4,518,1,536,0,546,0,546,0,546,0,574,0,574,0,629,0,629,0,649,0,686,0,789,0,817,0,826,0,836,0,845,0,872,0,928,1,947,0,,,,,,,,,,,,
,,518,1,518,3,518,1,518,1,518,2,518,2,527,1,527,4,527,1,546,1,555,0,555,0,555,1,583,1,583,0,639,0,639,0,658,0,696,0,798,0,826,0,836,0,845,0,854,0,882,0,938,1,,,,,,,,,,,,,,
,,527,1,527,3,527,1,527,1,527,2,527,2,536,1,536,1,536,1,555,1,564,0,564,0,564,1,592,1,592,0,649,0,649,0,668,0,704,0,808,0,836,0,845,0,854,0,863,0,891,0,947,0,,,,,,,,,,,,,,
,,536,1,536,2,536,1,536,2,536,2,536,1,546,1,546,1,546,1,564,1,574,0,574,0,574,0,601,1,601,0,658,0,658,0,677,0,714,0,817,0,845,0,854,1,863,0,872,0,900,0,,,,,,,,,,,,,,,,
,,546,1,546,2,546,1,546,2,546,2,546,1,555,1,555,1,555,0,574,1,583,1,583,0,583,0,611,0,611,0,668,0,668,0,686,0,724,0,826,0,854,0,863,1,872,0,882,0,910,0,,,,,,,,,,,,,,,,
,,555,1,555,3,555,2,555,1,555,2,555,1,564,1,564,1,564,0,583,1,592,1,592,0,592,0,620,1,620,0,677,0,677,0,696,0,732,0,836,0,863,0,872,0,882,0,891,0,919,0,,,,,,,,,,,,,,,,
,,564,1,564,3,564,2,564,1,564,2,564,1,574,1,574,1,574,0,592,0,601,0,601,0,601,0,629,1,629,0,686,0,686,0,704,0,742,0,845,0,872,0,882,0,891,0,900,0,928,0,,,,,,,,,,,,,,,,
,,574,1,574,2,574,1,574,2,574,2,574,1,583,1,583,2,583,0,601,0,611,0,611,0,611,0,639,2,639,0,696,0,696,0,714,0,751,0,854,0,882,0,891,0,900,0,910,0,938,1,,,,,,,,,,,,,,,,
,,583,1,583,2,583,1,583,2,583,2,583,1,592,1,592,2,592,0,611,1,620,0,620,0,620,0,649,1,649,0,704,0,704,0,724,0,761,0,863,0,891,0,900,0,910,0,919,0,947,1,,,,,,,,,,,,,,,,
,,592,1,592,2,592,1,592,2,592,2,592,1,601,1,601,1,601,1,620,1,629,0,629,0,629,0,658,0,658,0,714,0,714,0,732,0,770,0,872,0,900,0,910,0,919,0,928,0,,,,,,,,,,,,,,,,,,
,,601,1,601,2,601,1,601,2,601,2,601,1,611,1,611,0,611,1,629,1,639,0,639,0,639,0,668,0,668,1,724,0,724,0,742,0,780,0,882,0,910,0,919,0,928,0,938,0,,,,,,,,,,,,,,,,,,
,,611,1,611,2,611,1,611,2,611,2,611,1,620,0,620,1,620,1,639,1,649,0,649,0,649,0,677,0,677,1,732,0,732,0,751,0,789,0,891,0,919,0,928,0,938,0,947,0,,,,,,,,,,,,,,,,,,
,,620,1,620,3,620,1,620,1,620,2,620,1,629,0,629,2,629,1,649,1,658,0,658,0,658,0,686,2,686,0,742,0,742,0,761,1,798,0,900,0,928,0,938,0,947,0,,,,,,,,,,,,,,,,,,,,
,,629,1,629,3,629,1,629,1,629,2,629,1,639,0,639,1,639,1,658,2,668,0,668,0,668,0,696,2,696,0,751,0,751,0,770,1,808,0,910,0,938,0,947,0,,,,,,,,,,,,,,,,,,,,,,
,,639,1,639,2,639,1,639,2,639,2,639,1,649,0,649,1,649,1,668,1,677,0,677,0,677,0,704,1,704,0,761,0,761,0,780,1,817,0,919,0,947,0,,,,,,,,,,,,,,,,,,,,,,,,
,,649,1,649,3,649,1,649,2,649,2,649,2,658,0,658,2,658,1,677,1,686,0,686,0,686,0,714,0,714,0,770,0,770,0,789,1,826,0,928,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,658,1,658,2,658,1,658,1,658,2,658,2,668,0,668,1,668,0,686,1,696,0,696,0,696,0,724,0,724,0,780,0,780,0,798,1,836,0,938,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668,1,668,2,668,1,668,2,668,2,668,1,677,0,677,3,677,0,696,2,704,0,704,0,704,0,732,0,732,0,789,0,789,1,808,1,845,0,947,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,677,1,677,2,677,1,677,2,677,2,677,2,686,0,686,3,686,1,704,2,714,0,714,0,714,0,742,0,742,0,798,0,798,1,817,1,854,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,686,1,686,1,686,1,686,2,686,2,686,2,696,0,696,0,696,1,714,1,724,0,724,0,724,0,751,0,751,0,808,0,808,0,826,0,863,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,696,1,696,2,696,1,696,1,696,2,696,1,704,0,704,0,704,1,724,1,732,0,732,0,732,1,761,0,761,0,817,0,817,0,836,1,872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,704,1,704,3,704,1,704,2,704,2,704,1,714,0,714,0,714,0,732,1,742,0,742,0,742,1,770,0,770,0,826,0,826,0,845,2,882,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,714,1,714,4,714,1,714,2,714,2,714,1,724,0,724,0,724,0,742,1,751,0,751,0,751,0,780,1,780,0,836,0,836,0,854,1,891,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,724,1,724,2,724,1,724,2,724,2,724,1,732,0,732,1,732,1,751,1,761,0,761,0,761,0,789,2,789,1,845,0,845,0,863,0,900,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,732,1,732,2,732,0,732,1,732,2,732,1,742,0,742,1,742,1,761,1,770,0,770,0,770,0,798,1,798,1,854,0,854,0,872,0,910,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,742,1,742,2,742,0,742,0,742,2,742,2,751,0,751,1,751,1,770,1,780,0,780,0,780,0,808,1,808,0,863,0,863,0,882,0,919,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,751,1,751,2,751,1,751,1,751,2,751,2,761,0,761,2,761,1,780,0,789,0,789,0,789,0,817,1,817,0,872,0,872,0,891,1,928,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,761,1,761,3,761,1,761,1,761,2,761,1,770,0,770,1,770,1,789,0,798,0,798,0,798,0,826,1,826,0,882,0,882,0,900,1,938,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,770,1,770,2,770,2,770,2,770,2,770,1,780,0,780,1,780,0,798,0,808,0,808,0,808,0,836,1,836,0,891,0,891,0,910,0,947,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,780,1,780,2,780,1,780,2,780,2,780,2,789,0,789,1,789,0,808,0,817,0,817,0,817,1,845,1,845,0,900,0,900,0,919,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789,1,789,2,789,1,789,2,789,2,789,2,798,0,798,3,798,0,817,0,826,0,826,0,826,1,854,0,854,0,910,0,910,0,928,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,798,1,798,2,798,1,798,2,798,2,798,1,808,0,808,4,808,0,826,1,836,0,836,0,836,0,863,1,863,0,919,0,919,0,938,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,808,1,808,3,808,1,808,2,808,2,808,1,817,0,817,3,817,1,836,1,845,0,845,0,845,0,872,1,872,0,928,0,928,0,947,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,817,1,817,3,817,1,817,1,817,2,817,2,826,0,826,4,826,1,845,1,854,0,854,0,854,0,882,0,882,0,938,0,938,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,826,1,826,3,826,1,826,1,826,2,826,2,836,0,836,3,836,1,854,2,863,0,863,0,863,0,891,0,891,0,947,0,947,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,836,1,836,3,836,1,836,1,836,2,836,2,845,0,845,3,845,1,863,1,872,0,872,0,872,0,900,0,900,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,845,1,845,2,845,1,845,1,845,2,845,2,854,0,854,3,854,0,872,0,882,1,882,0,882,0,910,0,910,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,854,1,854,2,854,1,854,1,854,2,854,1,863,0,863,2,863,0,882,1,891,1,891,0,891,0,919,0,919,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,863,1,863,2,863,1,863,1,863,2,863,1,872,0,872,3,872,0,891,1,900,0,900,0,900,0,928,1,928,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,872,1,872,3,872,1,872,2,872,2,872,2,882,0,882,3,882,0,900,0,910,0,910,1,910,0,938,1,938,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,882,1,882,3,882,1,882,2,882,2,882,2,891,0,891,0,891,1,910,0,919,0,919,1,919,0,947,0,947,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,891,1,891,3,891,1,891,2,891,2,891,1,900,0,900,1,900,1,919,0,928,0,928,0,928,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,900,1,900,2,900,1,900,2,900,2,900,1,910,0,910,2,910,1,928,0,938,0,938,0,938,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,910,1,910,2,910,1,910,1,910,2,910,2,919,1,919,1,919,1,938,0,947,1,947,0,947,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,919,1,919,2,919,1,919,1,919,2,919,2,928,1,928,0,928,0,947,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,928,1,928,2,928,1,928,1,928,2,928,1,938,0,938,1,938,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,938,1,938,2,938,1,938,2,938,2,938,2,947,0,947,1,947,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,947,1,947,2,947,1,947,2,947,2,947,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
