Time,Manual_Count,NETCOMM LIMITED,UNKNOWN,Apple,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Billion Electric Co. Ltd.,Netgear Inc,"NETGEAR INC.,","CISCO SYSTEMS, INC.","TP-LINK TECHNOLOGIES CO.,LTD.",ASUSTek COMPUTER INC.,Intel Corporate,IBM Corp,Routerboard.com,Liteon Technology Corporation,D-Link International,Dell Inc,Hewlett-Packard Company,"Murata Manufactuaring Co.,Ltd.",ICP Electronics Inc.,DrayTek Corp.,Ubiquiti Networks,ASRock Incorporation,Netgear Inc.,NETGEAR,Apple Inc,"Hon Hai Precision Ind. Co.,Ltd.","Apple, Inc",HTC Corporation,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Sony Mobile Communications AB,Hewlett Packard,Belkin International Inc.,FUJI-XEROX CO. LTD.,D-LINK INTERNATIONAL PTE LIMITED,WISOL,Microsoft,Liteon Tech Corp.,"Samsung Electro Mechanics co.,LTD."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11,1,3,3,1,1,0,0,2,1,0,0,1,1,0,1,1,2,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1
11,11,1,3,3,2,1,1,0,2,1,0,0,1,1,0,1,1,2,0,1,0,1,1,0,0,1,1,2,0,1,1,2,0,0,1,1,0,1,1
15,11,1,2,2,1,1,1,0,2,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
20,11,1,2,4,1,1,1,0,2,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0
24,11,0,2,3,0,0,1,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
28,11,1,2,3,0,1,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
32,11,1,2,4,1,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
37,11,1,2,3,1,1,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,11,1,1,2,1,1,1,0,2,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
45,9,1,1,3,1,1,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
49,9,1,1,3,1,1,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
53,9,1,1,1,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
58,9,1,1,1,1,1,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,11,1,1,1,1,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
66,11,0,2,2,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
70,11,1,2,2,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,
75,11,0,3,2,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
79,11,0,2,1,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,,
83,11,0,2,2,1,1,1,0,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,,
87,11,1,1,2,2,1,1,0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,,
91,11,1,1,2,2,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,
96,11,0,1,1,1,1,1,0,2,1,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,
100,11,0,1,0,0,1,1,0,1,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
104,11,1,1,0,2,1,1,0,1,1,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
109,11,1,1,1,2,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,
113,11,1,1,1,2,0,0,0,1,1,0,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
117,11,1,1,1,1,1,0,0,2,1,0,2,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
122,11,1,1,1,1,0,1,0,2,1,0,1,1,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
126,11,1,1,1,2,0,1,0,2,1,0,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
130,11,1,1,1,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
134,11,1,1,1,3,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
138,11,1,1,3,3,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
142,11,1,1,5,2,1,1,0,2,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,
146,11,1,1,5,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,,,
151,11,1,1,4,0,0,0,0,2,1,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,,,
154,11,1,1,2,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
160,11,1,1,1,0,1,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
164,11,1,1,1,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,
168,7,1,1,1,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,
172,7,1,1,3,3,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,
176,7,1,1,6,3,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,
180,7,1,1,6,2,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,
184,7,1,1,5,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,
189,7,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,
193,7,1,2,1,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,,,,,
198,7,1,2,1,2,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,,,,,
201,7,1,2,1,2,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,,,,,,
206,7,1,1,1,1,1,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,
211,7,0,1,2,2,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,,,,,,
215,7,1,1,2,2,1,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,
218,7,0,1,2,2,0,1,0,1,1,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,
224,7,0,1,3,1,0,1,0,1,1,0,2,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,
226,7,1,1,4,1,0,1,0,1,1,0,1,1,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,
232,7,1,1,5,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,
237,7,1,1,5,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,
240,7,1,1,4,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
245,7,1,1,3,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,
248,7,1,1,1,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,
253,7,1,1,2,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,
256,7,1,1,2,0,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
262,7,1,1,2,0,0,1,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
265,7,1,1,1,2,1,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,
268,7,1,1,1,2,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
274,7,1,1,1,2,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
278,7,1,1,2,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,,,,,,,,,,,,,,
281,7,1,1,4,0,1,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,
287,7,0,1,5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,
290,7,1,1,6,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,
297,7,1,1,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,
300,7,1,1,4,2,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
303,7,1,1,2,2,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
307,7,1,1,3,3,1,1,0,2,1,0,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
313,7,1,1,2,3,1,1,0,2,1,0,2,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
317,7,0,2,3,3,0,1,0,2,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
320,7,1,2,3,2,1,1,0,2,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
324,7,1,2,3,1,1,1,0,2,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
328,7,1,2,3,0,0,0,0,2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
335,7,1,2,2,0,0,0,0,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
339,7,1,2,2,1,1,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,7,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
