Timeout,RSSI,Trial Number,Manual Count,Total_Devs
30,90,27,0,0
30,90,27,0,1
30,90,27,0,13
30,90,27,0,16
30,90,27,13,22
30,90,27,13,24
30,90,27,13,25
30,90,27,13,26
30,90,27,13,26
30,90,27,13,26
30,90,27,13,27
30,90,27,13,25
30,90,27,13,25
30,90,27,13,25
30,90,27,13,28
30,90,27,13,30
30,90,27,13,28
30,90,27,13,27
30,90,27,15,27
30,90,27,15,28
30,90,27,15,29
30,90,27,15,30
30,90,27,15,29
30,90,27,15,30
30,90,27,15,26
30,90,27,15,32
30,90,27,15,35
30,90,27,15,34
30,90,27,15,32
30,90,27,15,32
30,90,27,15,31
30,90,27,15,29
30,90,27,15,27
30,90,27,15,29
30,90,27,15,29
30,90,27,15,26
30,90,27,15,26
30,90,27,15,26
30,90,27,15,30
30,90,27,15,29
30,90,27,15,29
30,90,27,15,33
30,90,27,15,35
30,90,27,15,35
30,90,27,15,38
30,90,27,15,40
30,90,27,15,41
30,90,27,15,41
30,90,27,15,40
30,90,27,15,38
30,90,27,15,31
30,90,27,15,32
30,90,27,15,35
30,90,27,15,35
30,90,27,15,29
30,90,27,15,28
30,90,27,17,30
30,90,27,17,34
30,90,27,17,38
30,90,27,17,38
30,90,27,17,35
30,90,27,17,34
30,90,27,17,34
30,90,27,17,36
30,90,27,17,33
30,90,27,17,36
30,90,27,17,37
30,90,27,17,35
30,90,27,17,35
30,90,27,17,40
30,90,27,15,38
30,90,27,15,35
30,90,27,15,34
30,90,27,15,37
30,90,27,15,40
30,90,27,15,39
30,90,27,15,39
30,90,27,15,38
30,90,27,15,36
30,90,27,15,39
30,90,27,15,36
30,90,27,15,36
30,90,27,15,33
30,90,27,16,37
30,90,27,16,42
30,90,27,16,43
30,90,27,16,46
30,90,27,15,41
30,90,27,15,41
30,90,27,15,41
30,90,27,15,38
30,90,27,15,40
30,90,27,15,35
30,90,27,15,35
30,90,27,15,40
30,90,27,15,43
30,90,27,15,47
30,90,27,15,48
30,80,28,0,0
30,80,28,13,2
30,80,28,13,14
30,80,28,13,19
30,80,28,13,21
30,80,28,13,26
30,80,28,13,27
30,80,28,13,29
30,80,28,14,28
30,80,28,14,27
30,80,28,14,26
30,80,28,14,23
30,80,28,14,24
30,80,28,14,29
30,80,28,14,27
30,80,28,14,28
30,80,28,14,32
30,80,28,14,36
30,80,28,14,36
30,80,28,14,33
30,80,28,14,31
30,80,28,14,32
30,80,28,14,30
30,80,28,14,30
30,80,28,14,24
30,80,28,14,23
30,80,28,14,25
30,80,28,16,20
30,80,28,16,25
30,80,28,16,25
30,80,28,16,25
30,80,28,16,22
30,80,28,16,25
30,80,28,16,25
30,80,28,16,23
30,80,28,16,23
30,80,28,16,22
30,80,28,14,24
30,80,28,14,25
30,80,28,14,25
30,80,28,14,26
30,80,28,14,28
30,80,28,14,29
30,80,28,14,26
30,80,28,14,25
30,80,28,14,30
30,80,28,14,27
30,80,28,14,26
30,80,28,14,28
30,80,28,14,28
30,80,28,14,30
30,80,28,14,30
30,80,28,14,32
30,80,28,14,32
30,80,28,14,28
30,80,28,14,31
30,80,28,14,26
30,80,28,14,25
30,80,28,14,25
30,80,28,14,24
30,80,28,14,23
30,80,28,14,23
30,80,28,14,21
30,80,28,14,23
30,80,28,12,23
30,80,28,12,26
30,80,28,12,31
30,80,28,12,32
30,80,28,12,32
30,80,28,12,30
30,80,28,12,28
30,80,28,12,24
30,80,28,12,25
30,80,28,12,25
30,80,28,12,21
30,80,28,12,26
30,80,28,12,29
30,80,28,12,32
30,80,28,12,30
30,80,28,12,31
30,80,28,12,30
30,80,28,12,30
30,80,28,12,26
30,80,28,12,24
30,80,28,12,23
30,80,28,12,24
30,80,28,12,25
30,80,28,12,24
30,80,28,12,23
30,80,28,12,30
30,80,28,12,30
30,80,28,12,32
30,80,28,12,29
30,80,28,12,32
30,80,28,12,33
30,80,28,12,32
30,80,28,13,26
30,80,28,13,28
30,80,28,13,27
30,80,28,12,28
30,80,28,12,31
30,80,28,12,31
30,80,28,12,31
30,80,28,12,32
30,80,28,12,30
30,80,28,12,29
30,80,28,12,31
30,70,29,0,1
30,70,29,13,1
30,70,29,13,7
30,70,29,13,8
30,70,29,13,8
30,70,29,13,13
30,70,29,13,17
30,70,29,13,19
30,70,29,13,19
30,70,29,13,18
30,70,29,13,17
30,70,29,13,18
30,70,29,13,16
30,70,29,13,10
30,70,29,13,11
30,70,29,13,12
30,70,29,13,12
30,70,29,13,9
30,70,29,14,8
30,70,29,14,10
30,70,29,14,16
30,70,29,14,17
30,70,29,14,17
30,70,29,14,18
30,70,29,14,18
30,70,29,14,18
30,70,29,14,17
30,70,29,14,16
30,70,29,14,18
30,70,29,14,18
30,70,29,14,16
30,70,29,14,16
30,70,29,14,14
30,70,29,14,15
30,70,29,14,17
30,70,29,14,14
30,70,29,14,14
30,70,29,14,15
30,70,29,14,16
30,70,29,14,14
30,70,29,14,13
30,70,29,14,12
30,70,29,14,13
30,70,29,14,13
30,70,29,14,12
30,70,29,14,11
30,70,29,14,14
30,70,29,14,15
30,70,29,14,19
30,70,29,14,16
30,70,29,14,16
30,70,29,14,18
30,70,29,15,17
30,70,29,14,16
30,70,29,14,16
30,70,29,14,16
30,70,29,14,16
30,70,29,14,14
30,70,29,14,13
30,70,29,14,13
30,70,29,14,13
30,70,29,14,16
30,70,29,14,16
30,70,29,14,13
30,70,29,16,15
30,70,29,16,19
30,70,29,19,19
30,70,29,19,23
30,70,29,19,20
30,70,29,19,22
30,70,29,19,24
30,70,29,19,23
30,70,29,19,24
30,70,29,19,22
30,70,29,19,25
30,70,29,19,25
30,70,29,19,23
30,70,29,19,23
30,70,29,19,22
30,70,29,19,21
30,70,29,19,20
30,70,29,19,21
30,70,29,12,20
30,70,29,12,19
30,70,29,12,19
30,70,29,12,18
30,70,29,12,18
30,70,29,12,13
30,70,29,12,13
30,70,29,12,13
30,70,29,12,13
30,70,29,12,12
30,70,29,16,12
30,60,30,0,0
30,60,30,14,1
30,60,30,14,3
30,60,30,14,2
30,60,30,14,1
30,60,30,14,4
30,60,30,14,4
30,60,30,14,6
30,60,30,14,8
30,60,30,14,7
30,60,30,14,6
30,60,30,14,6
30,60,30,14,7
30,60,30,14,7
30,60,30,14,7
30,60,30,14,5
30,60,30,14,4
30,60,30,14,3
30,60,30,14,3
30,60,30,14,2
30,60,30,14,4
30,60,30,14,2
30,60,30,14,3
30,60,30,14,4
30,60,30,14,4
30,60,30,14,3
30,60,30,14,4
30,60,30,14,4
30,60,30,14,4
30,60,30,14,4
30,60,30,14,3
30,60,30,14,4
30,60,30,14,4
30,60,30,14,4
30,60,30,14,3
30,60,30,16,2
30,60,30,16,2
30,60,30,16,3
30,60,30,16,4
30,60,30,16,2
30,60,30,16,3
30,60,30,16,3
30,60,30,16,3
30,60,30,16,2
30,60,30,16,2
30,60,30,16,2
30,60,30,16,3
30,60,30,16,2
30,60,30,16,1
30,60,30,16,1
30,60,30,16,1
30,60,30,16,1
30,60,30,16,1
30,60,30,16,1
30,60,30,16,2
30,60,30,16,3
30,60,30,17,3
30,60,30,17,2
30,60,30,17,2
30,60,30,17,2
30,60,30,17,2
30,60,30,17,3
30,60,30,21,3
30,60,30,21,2
30,60,30,21,2
30,60,30,21,3
30,60,30,21,2
30,60,30,21,3
30,60,30,21,3
30,60,30,21,3
30,60,30,21,4
30,60,30,21,6
30,60,30,21,7
30,60,30,21,7
30,40,32,0,0
30,40,32,20,0
30,40,32,20,0
30,40,32,20,1
30,40,32,20,1
30,40,32,20,1
30,40,32,20,1
30,40,32,20,1
30,40,32,20,1
30,40,32,20,0
30,40,32,20,0
30,40,32,20,1
30,40,32,20,2
30,40,32,20,2
30,40,32,20,2
30,40,32,20,2
30,40,32,20,2
30,40,32,20,2
30,40,32,20,1
30,40,32,20,0
30,40,32,20,0
30,40,32,20,0
30,40,32,20,0
30,40,32,20,0
30,40,32,20,0
30,40,32,20,0
30,40,32,21,0
30,40,32,22,0
30,40,32,21,0
30,40,32,21,0
30,40,32,21,0
30,40,32,21,0
30,40,32,21,0
30,40,32,20,0
30,40,32,20,0
30,40,32,20,0
30,40,32,20,0
30,40,32,20,0
30,40,32,20,0
30,40,32,20,0
30,40,32,20,0
30,50,31,0,0
30,50,31,23,1
30,50,31,23,1
30,50,31,23,2
30,50,31,23,2
30,50,31,23,2
30,50,31,23,2
30,50,31,23,2
30,50,31,23,3
30,50,31,23,3
30,50,31,25,3
30,50,31,25,2
30,50,31,25,2
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,2
30,50,31,24,2
30,50,31,24,2
30,50,31,24,2
30,50,31,24,2
30,50,31,24,2
30,50,31,24,2
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,0
30,50,31,24,0
30,50,31,22,0
30,50,31,22,1
30,50,31,22,1
30,50,31,22,1
30,50,31,22,1
30,50,31,22,1
30,50,31,22,1
30,50,31,22,1
30,50,31,22,1
30,50,31,22,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
30,50,31,24,1
60,60,33,0,0
60,60,33,20,0
60,60,33,20,0
60,60,33,20,0
60,60,33,20,1
60,60,33,20,0
60,60,33,20,2
60,60,33,20,1
60,60,33,20,2
60,60,33,20,2
60,60,33,20,2
60,60,33,20,3
60,60,33,20,5
60,60,33,20,5
60,60,33,20,4
60,60,33,20,4
60,60,33,20,5
60,60,33,20,4
60,60,33,20,4
60,60,33,20,7
60,60,33,20,5
60,60,33,20,6
60,60,33,20,10
60,60,33,20,9
60,60,33,20,8
60,60,33,20,8
60,60,33,20,10
60,60,33,21,11
60,60,33,22,8
60,60,33,21,8
60,60,33,21,8
60,60,33,21,7
60,60,33,21,9
60,60,33,21,8
60,60,33,20,11
60,60,33,20,9
60,60,33,20,7
60,60,33,20,7
60,60,33,20,7
60,60,33,20,6
60,60,33,20,7
60,60,33,0,7
60,60,33,0,7
60,60,33,0,8
60,60,33,0,10
60,60,33,0,10
60,60,33,0,9
60,60,33,0,7
60,60,33,0,9
60,60,33,0,8
60,60,33,0,10
60,60,33,0,10
60,60,33,0,12
60,60,33,0,9
60,60,33,0,13
60,60,33,0,12
60,60,33,0,11
60,60,33,0,11
60,60,33,0,11
60,75,34,0,0
60,75,34,18,1
60,75,34,18,9
60,75,34,18,9
60,75,34,18,12
60,75,34,18,18
60,75,34,18,20
60,75,34,18,21
60,75,34,18,23
60,75,34,18,24
60,75,34,18,25
60,75,34,18,25
60,75,34,18,29
60,75,34,18,28
60,75,34,18,29
60,75,34,18,32
60,75,34,18,31
60,75,34,18,32
60,75,34,18,31
60,75,34,18,31
60,75,34,18,31
60,75,34,20,30
60,75,34,20,31
60,75,34,20,33
60,75,34,20,35
60,75,34,19,35
60,75,34,19,35
60,75,34,19,36
60,75,34,19,41
60,75,34,20,42
60,75,34,20,41
60,75,34,20,40
60,75,34,20,43
60,75,34,20,42
60,75,34,22,42
60,75,34,22,39
60,75,34,22,40
60,75,34,22,39
60,75,34,22,41
60,75,34,22,41
60,75,34,22,43
60,75,34,22,45
60,75,34,22,47
60,75,34,22,45
60,75,34,22,42
60,75,34,22,41
60,75,34,22,46
60,75,34,22,42
60,75,34,22,44
60,75,34,22,43
60,75,34,22,43
60,75,34,22,41
60,75,34,22,37
60,75,34,22,37
60,75,34,20,36
60,75,34,20,36
60,75,34,20,37
60,75,34,20,38
60,75,34,20,38
60,75,34,20,37
60,75,34,20,39
60,75,34,20,37
60,75,34,20,36
60,75,34,20,39
60,75,34,20,41
60,75,34,20,40
60,75,34,20,40
60,75,34,20,39
60,75,34,20,40
60,75,34,20,41
60,75,34,20,40
60,75,34,20,40
60,75,34,20,39
60,75,34,20,40
120,70,35,0,0
120,70,35,22,2
120,70,35,22,8
120,70,35,22,10
120,70,35,22,14
120,70,35,22,15
120,70,35,22,17
120,70,35,22,17
120,70,35,22,17
120,70,35,22,17
120,70,35,22,15
120,70,35,22,15
120,70,35,22,16
120,70,35,22,18
120,70,35,22,20
120,70,35,22,21
120,70,35,22,23
120,70,35,22,20
120,70,35,22,20
120,70,35,22,23
120,70,35,22,23
120,70,35,22,22
120,70,35,22,23
120,70,35,22,22
120,70,35,22,22
120,70,35,22,22
120,70,35,22,23
120,70,35,22,22
120,70,35,22,20
120,70,35,22,18
120,70,35,22,19
120,70,35,22,19
120,70,35,22,20
120,70,35,22,20
120,70,35,22,21
120,70,35,22,22
120,70,35,22,24
120,70,35,22,24
120,70,35,22,24
120,70,35,22,24
120,70,35,22,24
120,70,35,22,26
120,70,35,23,29
120,70,35,23,28
120,70,35,23,28
120,70,35,23,27
120,70,35,23,27
120,70,35,23,27
120,70,35,23,28
120,70,35,23,29
120,70,35,23,31
120,70,35,23,32
120,70,35,23,32
120,70,35,23,32
120,70,35,23,35
120,70,35,23,35
120,70,35,23,34
120,70,35,23,35
120,70,35,23,36
120,70,35,23,36
120,70,35,23,35
120,70,35,23,34
120,70,35,23,33
120,70,35,23,32
90,70,36,0,1
90,70,36,19,1
90,70,36,19,0
90,70,36,19,0
90,70,36,19,0
90,70,36,19,0
90,70,36,19,0
90,70,36,19,0
90,70,36,19,0
90,70,36,19,0
90,70,36,19,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,20,0
90,80,37,0,0
90,80,37,21,6
90,80,37,21,10
90,80,37,21,10
90,80,37,21,11
90,80,37,21,11
90,80,37,21,12
90,80,37,21,13
90,80,37,21,15
90,80,37,21,15
90,80,37,21,17
90,80,37,21,15
90,80,37,21,15
90,80,37,21,15
90,80,37,21,18
90,80,37,21,20
90,80,37,21,21
90,80,37,21,20
90,80,37,21,21
90,80,37,21,26
90,80,37,21,25
90,80,37,21,24
90,80,37,21,24
90,80,37,21,25
90,80,37,21,28
90,80,37,21,30
90,80,37,21,31
90,80,37,21,31
90,80,37,21,30
90,80,37,21,28
90,80,37,21,28
90,80,37,21,26
90,80,37,21,26
90,80,37,21,26
90,80,37,21,25
90,80,37,21,26
90,80,37,21,29
90,80,37,21,32
90,80,37,21,34
90,80,37,21,37
90,80,37,21,37
90,80,37,21,34
90,80,37,21,39
90,80,37,21,40
90,80,37,23,40
90,80,37,23,38
90,80,37,23,38
90,80,37,23,40
90,80,37,23,45
90,80,37,23,47
90,80,37,23,48
90,80,37,23,49
90,80,37,23,48
90,80,37,23,50
90,80,37,23,50
90,80,37,23,55
90,80,37,23,55
90,80,37,23,56
90,80,37,23,57
90,80,37,23,58
90,80,37,23,56
90,80,37,23,58
90,80,37,23,61
90,80,37,23,61
90,80,37,23,60
90,80,37,23,62
90,80,37,23,60
90,80,37,23,60
90,80,37,23,58
90,80,37,23,60
90,80,37,23,56
90,80,37,23,54
90,80,37,23,56
90,80,37,23,56
90,80,37,23,56
90,80,37,23,58
90,80,37,23,58
45,90,38,0,0
45,90,38,22,2
45,90,38,22,15
45,90,38,22,20
45,90,38,22,23
45,90,38,22,25
45,90,38,22,27
45,90,38,22,31
45,90,38,22,31
45,90,38,22,32
45,90,38,22,35
45,90,38,22,37
45,90,38,22,37
45,90,38,22,37
45,90,38,22,35
45,90,38,22,36
45,90,38,22,37
45,90,38,22,38
45,90,38,22,36
45,90,38,22,38
45,90,38,22,39
45,90,38,22,39
45,90,38,22,40
45,90,38,22,43
45,90,38,25,41
45,90,38,25,41
45,90,38,25,43
45,90,38,25,45
45,90,38,25,47
45,90,38,25,46
45,90,38,25,43
45,90,38,25,41
45,90,38,25,43
45,90,38,25,42
45,90,38,25,40
45,90,38,25,41
45,90,38,25,44
45,90,38,25,44
45,90,38,25,40
45,90,38,25,41
45,90,38,23,41
45,90,38,24,42
45,90,38,24,43
45,90,38,24,40
45,90,38,24,39
45,90,38,24,37
45,90,38,24,36
45,90,38,24,39
45,90,38,24,40
45,90,38,24,40
45,90,38,24,42
45,90,38,24,40
45,90,38,24,39
45,90,38,24,38
45,90,38,24,39
45,90,38,24,41
45,90,38,24,45
45,90,38,24,46
45,90,38,24,46
45,90,38,24,47
45,90,38,24,44
45,90,38,24,44
45,90,38,24,47
45,90,38,24,48
45,90,38,24,47
45,90,38,24,45
45,90,38,21,46
45,90,38,21,52
45,90,38,21,51
45,90,38,21,50
45,90,38,21,52
45,90,38,21,47
45,90,38,21,50
45,90,38,21,50
45,90,38,21,51
45,90,38,21,50
45,90,38,21,50
45,90,38,21,50
45,90,38,21,46
45,90,38,21,47
45,90,38,21,49
45,90,38,21,50
45,90,38,21,50
45,90,38,21,50
45,90,38,21,52
45,90,38,21,47
45,90,38,21,48
45,90,38,21,48
45,90,38,21,42
45,90,38,21,40
45,90,38,21,41
45,90,38,21,41
45,90,38,21,42
45,90,38,21,43
45,90,38,21,44
45,90,38,19,45
45,90,38,19,45
45,90,38,19,44
45,70,39,0,0
45,70,39,17,0
45,70,39,17,6
45,70,39,17,6
45,70,39,17,8
45,70,39,17,10
45,70,39,17,10
45,70,39,17,12
45,70,39,17,9
45,70,39,17,10
45,70,39,17,9
45,70,39,17,12
45,70,39,17,13
45,70,39,17,13
45,70,39,17,13
45,70,39,17,13
45,70,39,17,14
45,70,39,17,12
45,70,39,17,14
45,70,39,17,16
45,70,39,17,16
45,70,39,17,15
45,70,39,17,12
45,70,39,17,11
45,70,39,17,12
45,70,39,17,10
45,70,39,17,10
45,70,39,17,13
45,70,39,17,13
45,70,39,17,14
45,70,39,17,14
45,70,39,17,15
45,70,39,17,20
45,70,39,17,21
45,70,39,17,23
45,70,39,17,22
45,70,39,17,21
45,70,39,17,21
45,70,39,17,23
45,70,39,17,25
45,70,39,17,26
45,70,39,17,25
45,70,39,17,24
45,70,39,17,19
45,70,39,17,18
45,70,39,17,19
45,70,39,17,23
45,70,39,17,24
45,70,39,17,24
45,70,39,17,22
45,70,39,17,23
45,70,39,17,24
45,70,39,17,23
45,70,39,17,25
45,70,39,17,26
45,70,39,17,19
45,70,39,15,19
45,70,39,15,17
45,70,39,15,12
45,70,39,15,16
45,70,39,15,15
45,70,39,11,13
45,70,39,11,17
45,70,39,11,19
45,70,39,11,21
20,70,41,0,0
20,70,41,17,3
20,70,41,17,4
20,70,41,17,9
20,70,41,12,10
20,70,41,12,14
20,70,41,12,14
20,70,41,12,9
20,70,41,12,10
20,70,41,12,9
20,70,41,12,10
20,70,41,12,13
20,70,41,12,13
20,70,41,12,12
20,70,41,12,10
20,70,41,12,10
20,70,41,12,9
